empty tomb	category	Furniture
empty tomb	category	Cloth
empty tomb	address	301 N. Fourth St., Champaign, IL
empty tomb	hours	9 am-12:30 pm and 2:15-5 pm, Monday-Saturday.
empty tomb	phone	(217) 356-2262
empty tomb	website	http://www.emptytomb.org/donateguide.html
empty tomb	category	Clothing
empty tomb	category	Kitchen
empty tomb	category	Decorative
empty tomb	category	Bedding
Habitat for Humanity of Champaign County	category	Appliance
Habitat for Humanity of Champaign County	category	Kitchen
Habitat for Humanity of Champaign County	category	Building Materials
Habitat for Humanity of Champaign County	category	Electronics
Habitat for Humanity of Champaign County	category	Bath
Habitat for Humanity of Champaign County	category	Cloth
Habitat for Humanity of Champaign County	category	Clothing
Habitat for Humanity of Champaign County	category	Consumable
Habitat for Humanity of Champaign County	category	Cleaning Supplies
Habitat for Humanity of Champaign County	category	Pet
Habitat for Humanity of Champaign County	category	Gift Cards
Habitat for Humanity of Champaign County	category	Decorative
Habitat for Humanity of Champaign County	category	Media
Habitat for Humanity of Champaign County	category	Outdoor
Habitat for Humanity of Champaign County	category	Exercise Equipment
Habitat for Humanity of Champaign County	category	Bedding
Habitat for Humanity of Champaign County	category	Furniture
Habitat for Humanity of Champaign County	category	Toys
Habitat for Humanity of Champaign County	category	Books
Habitat for Humanity of Champaign County	category	Hobby
Habitat for Humanity of Champaign County	address	119 E University Ave, Champaign, IL 61820
Habitat for Humanity of Champaign County	phone	(217) 359-0507
Habitat for Humanity of Champaign County	hours	Tuesday-Friday 10am-6pm and Saturday 10am-4pm.
Habitat for Humanity of Champaign County	website	http://cuhabitat.org/re-store/donate-materials/
The I.D.E.A. Store	category	Hobby
The I.D.E.A. Store	hours	See website for hours
The I.D.E.A. Store	phone	217-352-7878
The I.D.E.A. Store	address	28 E. Springfield, 2nd floor, Champaign, IL 61820
The I.D.E.A. Store	website	http://the-idea-store.org/
The I.D.E.A. Store	category	Books
The I.D.E.A. Store	category	Cloth
The I.D.E.A. Store	category	Jewelry
The I.D.E.A. Store	category	Media
The I.D.E.A. Store	category	Kitchen
The I.D.E.A. Store	category	Toys
Salt & Light	address	1512 W. Anthony Drive, Champaign, IL
Salt & Light	phone	(217) 359-0507
Salt & Light	hours	Monday-Saturday 9AM-8PM
Salt & Light	website	http://www.saltandlightministry.org/thrift
Salt & Light	category	Clothing
Salt & Light	category	Furniture
Salt & Light	category	Appliances
Salt & Light	category	Bath
Salt & Light	category	Toys
Salt & Light	category	Bedding
Salt & Light	category	Books
Salt & Light	category	Media
Salt & Light	category	Kitchen
Salt & Light	category	Electronics
Salt & Light	category	Media
Salt & Light	category	Kitchen
Restoration Urban Ministries	address	1213 Parkland Ct, Champaign, IL 61821
Restoration Urban Ministries	phone	(217) 355-2662
